pump_id,timestamp,pump_vibration_rms,flow_rate_lps,pipe_pressure_psi,chlorine_level_ppm
PUMP_008,2024-01-01 12:00:00,2.0,49.7,123.5,2.2
PUMP_008,2024-01-08 12:00:00,2.1,49.6,123.4,2.1
PUMP_008,2024-01-15 12:00:00,2.2,49.4,123.2,2.2
PUMP_008,2024-01-22 12:00:00,2.1,49.5,123.3,2.3
PUMP_008,2024-01-29 12:00:00,2.3,49.3,123.1,2.1
PUMP_008,2024-02-05 12:00:00,2.2,49.4,123.2,2.2
PUMP_008,2024-02-12 12:00:00,2.4,49.2,123.0,2.3
PUMP_008,2024-02-19 12:00:00,2.3,49.3,123.1,2.1
PUMP_008,2024-02-26 12:00:00,2.5,49.1,122.9,2.2
PUMP_008,2024-03-04 12:00:00,2.4,49.2,123.0,2.3
PUMP_008,2024-03-11 12:00:00,2.6,49.0,122.8,2.1
PUMP_008,2024-03-18 12:00:00,2.5,49.1,122.9,2.2
PUMP_008,2024-03-25 12:00:00,2.7,48.9,122.7,2.3
PUMP_009,2024-01-01 12:00:00,5.1,34.2,105.6,1.6
PUMP_009,2024-01-08 12:00:00,5.4,33.8,105.2,1.5
PUMP_009,2024-01-15 12:00:00,5.7,33.4,104.8,1.6
PUMP_009,2024-01-22 12:00:00,6.0,33.0,104.4,1.5
PUMP_009,2024-01-29 12:00:00,6.2,32.7,104.1,1.4
PUMP_009,2024-02-05 12:00:00,6.5,32.3,103.7,1.5
PUMP_009,2024-02-12 12:00:00,6.7,32.0,103.4,1.6
PUMP_009,2024-02-19 12:00:00,6.9,31.7,103.1,1.4
PUMP_009,2024-02-26 12:00:00,7.1,31.4,102.8,1.5
PUMP_009,2024-03-04 12:00:00,7.3,31.1,102.5,1.6
PUMP_009,2024-03-11 12:00:00,7.5,30.8,102.2,1.4
PUMP_009,2024-03-18 12:00:00,7.7,30.5,101.9,1.5
PUMP_009,2024-03-25 12:00:00,7.9,30.2,101.6,1.6
PUMP_010,2024-01-01 12:00:00,1.9,50.8,124.2,2.3
PUMP_010,2024-01-08 12:00:00,2.0,50.7,124.1,2.2
PUMP_010,2024-01-15 12:00:00,2.0,50.6,124.0,2.3
PUMP_010,2024-01-22 12:00:00,2.1,50.5,123.9,2.4
PUMP_010,2024-01-29 12:00:00,2.0,50.6,124.0,2.2
PUMP_010,2024-02-05 12:00:00,2.1,50.5,123.9,2.3
PUMP_010,2024-02-12 12:00:00,2.2,50.4,123.8,2.4
PUMP_010,2024-02-19 12:00:00,2.1,50.5,123.9,2.2
PUMP_010,2024-02-26 12:00:00,2.2,50.3,123.7,2.3
PUMP_010,2024-03-04 12:00:00,2.2,50.4,123.8,2.4
PUMP_010,2024-03-11 12:00:00,2.3,50.2,123.6,2.2
PUMP_010,2024-03-18 12:00:00,2.2,50.3,123.7,2.3
PUMP_010,2024-03-25 12:00:00,2.3,50.1,123.5,2.4
